3707.48,18.58,31.1,56.8,1014.02,-5.141537,119.482552,2020-08-26 19:14:31.587000,3F0D,end#
3707.48,22.1,31.2,56.5,319.03,-5.141483,119.483246,2020-08-26 19:14:42.655000,3F0D,end#
3707.48,21.01,31.2,56.2,1420.93,-5.141449,119.483696,2020-08-26 19:14:49.727000,3F0D,end#
3707.48,23.61,31.1,56.1,732.5,-5.141422,119.484093,2020-08-26 19:14:55.806000,3F0D,end#
3707.48,24.67,31,56.4,2443.27,-5.141262,119.48555,2020-08-26 19:15:15.885000,3F0D,end#
3707.48,39.65,31.1,56.9,1452.71,-5.141168,119.486214,2020-08-26 19:15:24.964000,3F0D,end#
3707.48,26.13,31.1,56.7,165.58,-5.141094,119.486755,2020-08-26 19:15:31.044000,3F0D,end#
3707.48,21.71,31.1,56.7,49.1,-5.140961,119.487846,2020-08-26 19:15:46.115000,3F0D,end#
3707.48,18.17,31,56.9,19669.99,-5.140864,119.48848,2020-08-26 19:15:57.194000,3F0D,end#
3707.48,15.53,nan,nan,2406.53,-5.140819,119.488594,2020-08-26 19:16:10.265000,3F0D,end#
3632.87,17.68,31.1,57.1,297.85,-5.140809,119.488625,2020-08-26 19:16:18.336000,3F0D,end#
3657.61,19.1,31.1,58.5,640.23,-5.140744,119.489136,2020-08-26 19:16:32.414000,3F0D,end#
3265.84,18.17,31,57.9,1032.67,-5.14069,119.489517,2020-08-26 19:16:40.494000,3F0D,end#
3392.59,18.54,30.8,57.5,35.75,-5.140618,119.490028,2020-08-26 19:16:49.575000,3F0D,end#
3277.21,17.24,30.7,57.7,3997.73,-5.140378,119.490982,2020-08-26 19:17:04.653000,3F0D,end#
3670.03,18.96,30.4,57.9,3044.7,-5.140033,119.491508,2020-08-26 19:17:14.734000,3F0D,end#
3657.61,16.05,30.3,58.2,3726.8,-5.139603,119.491982,2020-08-26 19:17:24.814000,3F0D,end#
3632.87,16.72,30.3,58.1,2000.11,-5.138977,119.492683,2020-08-26 19:17:36.894000,3F0D,end#
3657.61,17.15,30.3,58.2,1069.82,-5.138237,119.493492,2020-08-26 19:17:50.972000,3F0D,end#
3571.59,18.4,30.2,58.4,0,-5.138146,119.493607,2020-08-26 19:17:52.044000,3F0D,end#
3596,19.06,30.3,58.9,1229.34,-5.137344,119.494484,2020-08-26 19:18:09.125000,3F0D,end#
3657.61,23.43,30.4,58.9,152.84,-5.136622,119.495224,2020-08-26 19:18:23.204000,3F0D,end#
3707.48,22.9,30.3,59.3,265.86,-5.136141,119.49575,2020-08-26 19:18:32.281000,3F0D,end#
3707.48,21.44,30.3,59.8,6719.57,-5.135653,119.496292,2020-08-26 19:18:43.361000,3F0D,end#
3707.48,21.01,30.3,59.4,1935.03,-5.135052,119.496941,2020-08-26 19:18:55.430000,3F0D,end#
3707.48,19.2,30.2,59.4,300.79,-5.134587,119.497192,2020-08-26 19:19:03.511000,3F0D,end#
3707.48,25.86,30.4,59.6,2746.46,-5.133799,119.49749,2020-08-26 19:19:15.589000,3F0D,end#
3707.48,23.43,30.3,59.9,759.01,-5.132947,119.497795,2020-08-26 19:19:28.666000,3F0D,end#
3707.48,21.6,30.4,60.1,20.74,-5.1323,119.497978,2020-08-26 19:19:39.746000,3F0D,end#
3707.48,20.96,30.5,59.7,1.19,-5.131603,119.498154,2020-08-26 19:19:50.826000,3F0D,end#
3707.48,18.08,30.6,59.3,258.62,-5.131283,119.498253,2020-08-26 19:19:55.892000,3F0D,end#
3707.48,16.18,30.4,59.2,154.75,-5.130048,119.498566,2020-08-26 19:20:12.970000,3F0D,end#
3707.48,18.26,30.6,59.6,6382.09,-5.129397,119.498901,2020-08-26 19:20:21.050000,3F0D,end#
3571.59,18.03,30.7,59.7,44.85,-5.128644,119.499702,2020-08-26 19:20:35.121000,3F0D,end#
3707.48,19.06,nan,nan,1053.91,-5.128299,119.500206,2020-08-26 19:20:44.199000,3F0D,end#
3707.48,20.54,30.8,59.1,825.69,-5.127899,119.500816,2020-08-26 19:20:56.273000,3F0D,end#
537.41,15.85,32.90,53.10,4536.42,,,2020-09-06 11:53:02.511000,C7CD,end#
658.39,16.09,33.00,53.20,4754.53,,,2020-09-06 11:53:13.589000,C7CD,end#
638.92,15.65,33.10,53.70,6980.89,,,2020-09-06 11:53:25.667000,C7CD,end#
