humidity,2020-09-11 00:16:41.250290,2020-09-11 00:16:41.250290,49.45,,,cd14
pressure,2020-09-11 00:16:41.250290,2020-09-11 00:16:41.250290,49.45,,,cd14
pm10,2020-09-11 00:16:41.510754,2020-09-11 00:16:41.510754,0.0,,,cd14
pm10,2020-09-11 00:17:11.526641,2020-09-11 00:17:11.526641,0.0,,,cd14
pm10,2020-09-11 00:17:41.542985,2020-09-11 00:17:41.542985,0.0,,,cd14
temperature,2020-09-11 00:17:41.499171,2020-09-11 00:17:41.499171,33.19,,,cd14
humidity,2020-09-11 00:17:41.499171,2020-09-11 00:17:41.499171,49.38,,,cd14
pressure,2020-09-11 00:17:41.499171,2020-09-11 00:17:41.499171,49.38,,,cd14
pm10,2020-09-11 00:18:11.565898,2020-09-11 00:18:11.565898,0.0,,,cd14
pm10,2020-09-11 00:18:41.586321,2020-09-11 00:18:41.586321,0.0,,,cd14
temperature,2020-09-11 00:18:41.758962,2020-09-11 00:18:41.758962,33.22,,,cd14
humidity,2020-09-11 00:18:41.758962,2020-09-11 00:18:41.758962,49.43,,,cd14
pressure,2020-09-11 00:18:41.758962,2020-09-11 00:18:41.758962,49.43,,,cd14
pm10,2020-09-11 00:19:11.606691,2020-09-11 00:19:11.606691,0.0,,,cd14
pm10,2020-09-11 00:19:41.624248,2020-09-11 00:19:41.624248,0.0,,,cd14
temperature,2020-09-11 00:19:42.009956,2020-09-11 00:19:42.009956,33.26,,,cd14
humidity,2020-09-11 00:19:42.009956,2020-09-11 00:19:42.009956,49.2,,,cd14
pressure,2020-09-11 00:19:42.009956,2020-09-11 00:19:42.009956,49.2,,,cd14
pm10,2020-09-11 00:20:11.642882,2020-09-11 00:20:11.642882,0.0,,,cd14
pm10,2020-09-11 00:20:41.662012,2020-09-11 00:20:41.662012,0.0,,,cd14
temperature,2020-09-11 00:20:42.231494,2020-09-11 00:20:42.231494,33.23,,,cd14
humidity,2020-09-11 00:20:42.231494,2020-09-11 00:20:42.231494,49.21,,,cd14
pressure,2020-09-11 00:20:42.231494,2020-09-11 00:20:42.231494,49.21,,,cd14
pm10,2020-09-11 00:21:11.678506,2020-09-11 00:21:11.678506,0.0,,,cd14
pm10,2020-09-11 00:21:41.706640,2020-09-11 00:21:41.706640,0.0,,,cd14
temperature,2020-09-11 00:21:42.389395,2020-09-11 00:21:42.389395,33.21,,,cd14
humidity,2020-09-11 00:21:42.389395,2020-09-11 00:21:42.389395,49.24,,,cd14
pressure,2020-09-11 00:21:42.389395,2020-09-11 00:21:42.389395,49.24,,,cd14
pm10,2020-09-11 00:22:11.725986,2020-09-11 00:22:11.725986,0.0,,,cd14
pm10,2020-09-11 00:22:41.741248,2020-09-11 00:22:41.741248,0.0,,,cd14
temperature,2020-09-11 00:22:42.512626,2020-09-11 00:22:42.512626,33.21,,,cd14
humidity,2020-09-11 00:22:42.512626,2020-09-11 00:22:42.512626,49.3,,,cd14
pressure,2020-09-11 00:22:42.512626,2020-09-11 00:22:42.512626,49.3,,,cd14
pm10,2020-09-11 00:23:11.759289,2020-09-11 00:23:11.759289,0.0,,,cd14
pm10,2020-09-11 00:23:41.779141,2020-09-11 00:23:41.779141,0.0,,,cd14
temperature,2020-09-11 00:23:42.648264,2020-09-11 00:23:42.648264,33.18,,,cd14
humidity,2020-09-11 00:23:42.648264,2020-09-11 00:23:42.648264,49.43,,,cd14
pressure,2020-09-11 00:23:42.648264,2020-09-11 00:23:42.648264,49.43,,,cd14
pm10,2020-09-11 00:24:11.801754,2020-09-11 00:24:11.801754,0.0,,,cd14
pm10,2020-09-11 00:24:41.821633,2020-09-11 00:24:41.821633,0.0,,,cd14
temperature,2020-09-11 00:24:42.781836,2020-09-11 00:24:42.781836,33.18,,,cd14
humidity,2020-09-11 00:24:42.781836,2020-09-11 00:24:42.781836,49.36,,,cd14
pressure,2020-09-11 00:24:42.781836,2020-09-11 00:24:42.781836,49.36,,,cd14
pm10,2020-09-11 00:25:11.850840,2020-09-11 00:25:11.850840,0.0,,,cd14
pm10,2020-09-11 00:25:41.884255,2020-09-11 00:25:41.884255,0.0,,,cd14
temperature,2020-09-11 00:25:42.912636,2020-09-11 00:25:42.912636,33.15,,,cd14
humidity,2020-09-11 00:25:42.912636,2020-09-11 00:25:42.912636,49.35,,,cd14
pressure,2020-09-11 00:25:42.912636,2020-09-11 00:25:42.912636,49.35,,,cd14
pm10,2020-09-11 00:26:11.909931,2020-09-11 00:26:11.909931,0.0,,,cd14
pm10,2020-09-11 00:26:41.929640,2020-09-11 00:26:41.929640,0.0,,,cd14
temperature,2020-09-11 00:26:43.077134,2020-09-11 00:26:43.077134,33.14,,,cd14
humidity,2020-09-11 00:26:43.077134,2020-09-11 00:26:43.077134,49.38,,,cd14
